Me identifico;Tengo;Años de experiencia;Años en la empresa actual;Años en el puesto actual;¿Gente a cargo?;Nivel de estudios alcanzado;Estado;¿Contribuís a proyectos open source?;¿Programás como hobbie?;Lenguajes de programación;Bases de datos;¿Qué SO usás en tu laptop/PC para trabajar?;¿Y en tu celular?;Tipo de contrato;Salario mensual BRUTO (en tu moneda local);Salario mensual NETO (en tu moneda local);¿Qué tan conforme estás con tu sueldo?;Cómo creés que está tu sueldo con respecto al último semestre;Orientación sexual;Cantidad de empleados;¿La recomendás como un buen lugar para trabajar?;¿Cómo calificás las políticas de diversidad e inclusión?;¿A cuántos kilómetros de tu casa queda la oficina?
Mujer;26;4;2;5;0;Universitario;En curso;No;Sí;.NET, C#, CSS, HTML, Javascript, SQL;MSSQL;Windows;Android;Full-Time;27500;25000;2;2;Heterosexual;11-50;8;6;20
Hombre;28;5;3;3;0;Terciario;Completado;No;Sí;.NET, ActionScript, C#, CSS, HTML, Javascript, Kotlin, SQL, TypeScript;Microsoft Azure (Tables, CosmosDB, SQL, etc), MSSQL;Windows;Android;Full-Time;34000;30000;2;2;Heterosexual;1-10;6;3;70
Hombre;33;12;15;15;18;Universitario;Incompleto;Sí;No;Bash/Shell, Go, Java, Python;Cassandra, ElasticSearch, PostgreSQL, Redis;Mac OS X;iOS;Full-Time;208000;125000;4;4;;201-500;8;9;3
Mujer;32;10;2;5;3;Universitario;Completado;No;Sí;CSS, HTML, Java, Javascript, Python, SQL;Amazon RDS/Aurora, PostgreSQL;Linux;Android;Freelance;100000;93000;3;3;Heterosexual;11-50;7;5;-1
Mujer;24;3;1;1;0;Universitario;En curso;Sí;Sí;Python;MSSQL;Windows;Android;Full-Time;27750;21720;2;2;Heterosexual;201-500;7;2;17
Hombre;34;6;0;0;0;Terciario;Completado;Sí;Sí;Javascript, SQL, TypeScript;;Linux;Android;Full-Time;70500;;3;3;Heterosexual;10001+;5;3;30
Hombre;42;15;0;0;0;Secundario;Incompleto;Sí;Sí;Bash/Shell;MSSQL;Windows;Android;Full-Time;30000;25000;2;1;Heterosexual;1-10;4;5;5
Hombre;25;2;1;1;0;Universitario;Completado;No;Sí;Javascript, PHP;MySQL, Redis;Linux;Android;Full-Time;28800;29400;3;2;Heterosexual;11-50;7;8;5
Hombre;35;18;25;15;5;Terciario;Incompleto;No;Sí;CSS, HTML, Javascript, Python, Ruby;PostgreSQL;Mac OS X;iOS;Remoto (empresa de otro país);300000;240000;4;4;Heterosexual;201-500;7;10;20
Hombre;27;4;2;2;0;Terciario;Incompleto;No;Sí;Go, Groovy, Java, Kotlin, Python, Scala, SQL;Amazon Redshift, Amazon RDS/Aurora, Apache Hive, Cassandra, ElasticSearch, MySQL, Neo4j, Oracle, Redis;Mac OS X;Android;Full-Time;62698;51813;2;2;Heterosexual;1001-2000;8;8;9
Hombre;32;5;3;3;0;Universitario;Completado;No;Sí;Python;Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, MongoDB, MySQL, PostgreSQL, Redis;Windows;Android;Full-Time;55000;44000;3;3;Heterosexual;101-200;7;9;3
Hombre;27;9;7;5;0;Universitario;En curso;Sí;Sí;Bash/Shell, C, C++, Perl;MariaDB;Linux;Android;Full-Time;62000;;4;3;Heterosexual;11-50;9;9;-1
Hombre;50;20;5;5;0;Posgrado;Completado;No;No;Java, Javascript;Oracle;Windows;iOS;Tercerizado (trabajo a través de consultora o agencia);84000;67500;3;1;Heterosexual;11-50;6;10;20
Hombre;36;10;3;3;0;Universitario;Incompleto;No;Sí;Bash/Shell, Perl, Python;PostgreSQL;Mac OS X;iOS;Full-Time;90000;75000;4;3;Heterosexual;10001+;10;10;6
Hombre;31;9;2;2;0;Secundario;Completado;No;No;;;Windows;iOS;Full-Time;78000;56000;3;3;Heterosexual;201-500;7;8;2
Hombre;36;9;1;1;0;Universitario;Completado;No;No;Java, Scala;MySQL;Mac OS X;Android;Full-Time;55372;42681;1;1;Heterosexual;101-200;8;8;12
Hombre;29;3;3;3;0;Universitario;En curso;Sí;No;Objective-C, Swift;;Mac OS X;iOS;Part-Time;20000;16400;1;1;Heterosexual;101-200;5;5;20
Hombre;26;6;0;0;0;Terciario;Completado;Sí;Sí;Javascript;MongoDB;Mac OS X;iOS;Remoto (empresa de otro país);190000;180000;4;4;Heterosexual;11-50;10;7;-1
Hombre;34;3;0;0;0;Universitario;Completado;No;Sí;Javascript, Kotlin;;Linux;Android;Full-Time;33000;27000;2;2;Heterosexual;201-500;10;10;2
Hombre;25;3;2;2;0;Universitario;En curso;No;No;Javascript;;Windows;Android;Part-Time;36000;30000;2;1;Heterosexual;101-200;7;7;-1
Hombre;41;11;5;5;0;Universitario;Incompleto;Sí;No;Bash/Shell, C, CSS, Go, HTML, Javascript, Python, Smalltalk;MongoDB, PostgreSQL, Redis, SQLite;Linux;Android;Full-Time;190000;120000;4;4;Heterosexual;11-50;8;4;-1
Hombre;34;14;0;4;0;Universitario;Completado;No;Sí;Java, Kotlin, SQL, Dart;SQLite;Linux;Android;Full-Time;96000;76000;3;3;Homosexual;11-50;10;10;16
Hombre;32;8;3;0;0;Universitario;Incompleto;No;No;Java, Javascript, TypeScript;PostgreSQL;Mac OS X;Android;Full-Time;95200;70000;2;1;Heterosexual;10001+;9;10;2
Mujer;22;2;1;0;0;Universitario;En curso;Sí;Sí;Groovy, Java, SQL;ElasticSearch, MySQL;Linux;Android;Part-Time;24000;19000;4;3;Heterosexual;11-50;10;8;10
Hombre;32;10;2;2;0;Secundario;Completado;No;No;CSS, HTML, Javascript, Perl, PHP, Python, Ruby, SQL;Amazon RDS/Aurora, MariaDB, MySQL;Linux;Android;Full-Time;35000;30000;1;1;Heterosexual;1-10;5;9;3
Hombre;33;15;0;0;0;Universitario;Completado;Sí;Sí;CSS, HTML, Python;Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MySQL, PostgreSQL, Redis;Mac OS X;Android;Full-Time;270000;180000;3;2;Heterosexual;1-10;8;8;-1
Mujer;35;15;3;1;0;Universitario;Completado;No;Sí;Groovy, Java, Python, Scala;Cassandra, PostgreSQL;Mac OS X;Android;Full-Time;166000;110000;4;3;Heterosexual;201-500;7;9;7
Hombre;29;8;0;0;0;Terciario;Completado;No;Sí;CSS, HTML, Javascript, Python, SQL;PostgreSQL;Linux;iOS;Full-Time;55000;45000;2;2;Heterosexual;51-100;2;8;6
Hombre;26;4;35;35;2;Secundario;Completado;No;No;;;Linux;Android;Full-Time;35000;35000;2;3;Heterosexual;11-50;8;7;41
Hombre;21;2;0;0;0;Secundario;Completado;No;Sí;CSS, HTML, Javascript;;Mac OS X;Android;Full-Time;50600;42000;3;3;Heterosexual;1-10;8;10;15
Hombre;28;0;0;0;0;Universitario;Completado;No;Sí;.NET, C#, Java, SQL;MSSQL;Windows;Android;Full-Time;53700;44700;4;4;paidófilo;10001+;10;10;0
Hombre;23;4;0;0;0;Universitario;Completado;Sí;Sí;Java, Kotlin;SQLite;Mac OS X;Android;Full-Time;48000;38900;3;4;Heterosexual;201-500;8;9;3
Hombre;39;20;6;6;2;Terciario;Completado;Sí;No;HTML, Perl, Python, R, SQL, VBA;MSSQL, PostgreSQL;Windows;Android;Full-Time;75000;;3;3;Heterosexual;101-200;5;5;30
Mujer;23;0;0;0;0;Universitario;Incompleto;No;Sí;.NET, C#, Groovy, SQL;MSSQL;Windows;Android;Full-Time;31000;25730;3;3;Homosexual;501-1000;8;7;-1
Hombre;30;7;1;1;10;Terciario;En curso;No;No;;;Windows;Android;Full-Time;63250;49000;1;2;Heterosexual;201-500;7;7;10
Hombre;25;2;0;0;0;Universitario;En curso;No;Sí;CSS, HTML, Javascript;MongoDB;Mac OS X;Android;Full-Time;49000;39000;3;1;Heterosexual;5001-10000;8;6;5
Hombre;36;15;0;0;0;Universitario;Incompleto;No;Sí;Java, Kotlin;SQLite;Mac OS X;Android;Full-Time;95000;79000;4;4;Heterosexual;101-200;10;10;25
Mujer;24;3;0;3;0;Universitario;Completado;No;No;Objective-C, Swift;;Mac OS X;Android;Full-Time;120000;80000;4;3;Heterosexual;101-200;2;3;6
Hombre;21;0;0;0;0;Universitario;En curso;Sí;Sí;.NET, C#, CSS, HTML, Javascript;;Windows;Android;Full-Time;20000;17000;3;3;Heterosexual;101-200;9;9;50
Hombre;23;0;0;0;0;Terciario;Completado;No;Sí;;;Windows;Android;Full-Time;23000;20000;3;3;Heterosexual;11-50;7;7;1
Mujer;27;6;3;2;1;Universitario;Completado;No;No;;;Windows;Android;Full-Time;44000;35000;2;1;;101-200;5;6;14
Hombre;38;12;7;5;0;Universitario;Incompleto;No;Sí;.NET, C#, CSS, HTML, Javascript, SQL;MSSQL;Windows;Android;Full-Time;56000;46000;3;2;Heterosexual;51-100;8;10;20
Hombre;29;9;1;0;2;Universitario;Incompleto;No;No;.NET, Bash/Shell, Javascript;Google Cloud Storage, MySQL;Linux;Android;Full-Time;37000;31500;3;2;Heterosexual;101-200;7;7;6
Hombre;40;4;3;3;0;Posgrado;En curso;No;Sí;C#, Java, Javascript;Oracle;Windows;Android;Full-Time;46000;36000;1;2;Heterosexual;11-50;1;2;30
Hombre;26;4;0;0;0;Universitario;Incompleto;No;Sí;Javascript;;Mac OS X;iOS;Full-Time;90000;63000;4;4;Heterosexual;201-500;8;10;4
Hombre;31;6;3;3;0;Universitario;Completado;No;No;.NET, Bash/Shell, SQL;Microsoft Azure (Tables, CosmosDB, SQL, etc), MSSQL;Windows;Android;Full-Time;68000;48000;1;1;Heterosexual;201-500;6;8;10
Hombre;46;25;7;1;0;Posgrado;En curso;No;No;.NET, HTML, Java;IBM Db2, MSSQL, Oracle;Windows;Android;Full-Time;70000;60000;2;3;Heterosexual;2001-5000;5;7;7
Hombre;24;4;0;2;0;Terciario;Completado;No;No;CSS, Javascript;;Windows;iOS;Full-Time;57500;48000;4;3;Heterosexual;101-200;9;10;20
Hombre;31;10;2;2;0;Secundario;Completado;Sí;Sí;Go, PHP, Python;Amazon RDS/Aurora, MariaDB, Redis;Mac OS X;iOS;Remoto (empresa de otro país);60000;50000;3;2;Heterosexual;51-100;10;10;-1
Hombre;39;22;0;6;4;Universitario;Incompleto;No;No;Bash/Shell, PHP, Python;Amazon DynamoDB, ElasticSearch, MariaDB, MongoDB, MySQL, PostgreSQL, Redis;Mac OS X;iOS;Full-Time;77000;56000;2;2;Heterosexual;501-1000;8;9;6
Mujer;19;2;2;2;0;Universitario;En curso;No;No;CSS, HTML, Javascript, PHP;MySQL;Linux;Android;Part-Time;27300;22000;2;3;Heterosexual;11-50;7;5;77
Hombre;22;0;0;0;0;Terciario;Completado;No;No;.NET, VBA;MSSQL;Windows;Android;Full-Time;12000;12000;2;1;Heterosexual;1-10;2;4;30
Hombre;24;2;1;1;0;Universitario;En curso;No;No;CSS, HTML, Javascript;MongoDB;Linux;Android;Full-Time;38880;32800;3;1;Heterosexual;501-1000;7;9;35
Hombre;35;9;0;0;0;Universitario;Completado;Sí;Sí;CSS, HTML, Javascript;;Mac OS X;iOS;Remoto (empresa de otro país);146600;146600;3;3;Heterosexual;11-50;10;10;-1
Hombre;22;5;2;1;4;Universitario;Completado;No;Sí;CSS, HTML, Javascript;MySQL;Linux;iOS;Full-Time;55000;46000;3;2;Heterosexual;11-50;4;7;5
Hombre;26;3;0;0;0;Universitario;Incompleto;No;No;CSS, Groovy, HTML, Javascript;;Mac OS X;Android;Full-Time;50000;38000;3;2;Heterosexual;1001-2000;8;8;3
Mujer;30;15;1;1;0;Universitario;Completado;No;No;CSS, HTML, Javascript;;Mac OS X;iOS;Full-Time;31201;25897;1;1;Heterosexual;501-1000;7;7;15
Mujer;29;1;0;0;0;Universitario;En curso;No;Sí;CSS, Java, Javascript;;Mac OS X;iOS;Full-Time;46750;37633;3;3;Heterosexual;2001-5000;9;9;12
Hombre;31;5;2;2;0;Universitario;En curso;No;No;;;Linux;Android;Full-Time;60000;48000;3;3;Heterosexual;10001+;9;10;7
Hombre;31;8;4;2;4;Universitario;Incompleto;No;Sí;Python, SQL;Cassandra, MSSQL, MongoDB, MySQL, Oracle, PostgreSQL;Windows;Android;Full-Time;98000;60000;4;4;Heterosexual;501-1000;6;6;35
Hombre;38;10;0;0;0;Universitario;Incompleto;No;Sí;Bash/Shell, Python;PostgreSQL;Linux;Android;Full-Time;71500;;3;3;Heterosexual;101-200;8;8;15
Hombre;27;5;0;0;0;Secundario;Completado;No;Sí;.NET, C#, Javascript;MSSQL, MySQL;Windows;iOS;Full-Time;51000;41000;4;3;Heterosexual;51-100;10;10;13
Hombre;34;15;0;1;15;Posgrado;En curso;No;Sí;.NET, Java, PHP;;Mac OS X;Android;Full-Time;100000;70000;2;1;Heterosexual;2001-5000;6;6;30
Mujer;27;2;1;1;0;Universitario;Completado;No;No;;;Windows;Android;Full-Time;320075;25565;3;3;Heterosexual;101-200;8;7;6
Mujer;23;0;0;0;0;Universitario;En curso;No;Sí;.NET, C#, CSS, HTML, Javascript, SQL;MySQL;Windows;iOS;Full-Time;22;20;4;4;Heterosexual;11-50;10;10;35
Hombre;29;5;0;0;0;Universitario;Completado;Sí;Sí;Objective-C, Swift;SQLite;Mac OS X;iOS;Full-Time;63000;52290;2;1;Heterosexual;201-500;7;10;8
Hombre;47;8;3;2;0;Secundario;Completado;No;Sí;CSS, HTML, PHP;Oracle;Windows;Android;Full-Time;52000;38000;3;3;Heterosexual;2001-5000;8;7;15
Mujer;25;1;1;0;0;Universitario;En curso;No;Sí;Bash/Shell, HTML, PHP, Python, SQL;;Windows;No tengo celular / no es Smartphone;Full-Time;29500;24000;2;1;Homosexual;201-500;6;1;4
Hombre;31;15;3;10;5;Posgrado;Completado;Sí;Sí;;MSSQL, Oracle, HANA;Windows;Android;Full-Time;87000;66000;2;2;Heterosexual;51-100;5;4;15
Mujer;26;2;2;2;0;Terciario;Incompleto;No;No;CSS, HTML, XML;;Windows;Android;Full-Time;26000;22000;1;1;Heterosexual;201-500;5;5;3
Hombre;39;20;3;3;0;Universitario;Completado;Sí;Sí;HTML, Java, SQL;Amazon RDS/Aurora, MySQL;Linux;Android;Remoto (empresa de otro país);160000;;4;4;Heterosexual;5001-10000;7;7;-1
Hombre;30;4;0;0;4;Universitario;En curso;No;Sí;HTML, Javascript;ElasticSearch, MongoDB, MySQL, Redis;Mac OS X;Android;Full-Time;53000;44000;2;1;Heterosexual;2001-5000;7;7;6
Mujer;29;10;0;10;0;Universitario;Incompleto;No;No;Javascript;MSSQL;Windows;Android;Full-Time;62000;53000;4;4;Bisexual o queer;11-50;10;10;2
Hombre;23;1;0;0;0;Universitario;En curso;No;Sí;.NET, C#, SQL, VBA;MSSQL, MySQL, SQLite;Windows;Android;Freelance;10000;10000;2;2;Heterosexual;1-10;5;3;0
Hombre;32;11;6;6;0;Universitario;Completado;Sí;Sí;Python;PostgreSQL, SQLite;Linux;Android;Full-Time;100865;;3;3;Heterosexual;101-200;10;10;15
Hombre;28;7;0;2;3;Terciario;Completado;Sí;Sí;Javascript, TypeScript;;Mac OS X;iOS;Full-Time;93000;64500;3;4;Heterosexual;11-50;9;8;0
Hombre;26;3;2;2;4;Universitario;Completado;No;No;CSS, Go, HTML, Javascript, Python, SQL, TypeScript;PostgreSQL;Linux;Android;Full-Time;57000;40000;2;3;Heterosexual;101-200;9;9;-1
Hombre;38;14;1;4;12;Posgrado;Completado;No;No;;;Windows;iOS;Full-Time;74000;58000;3;2;Heterosexual;201-500;8;8;5
Mujer;33;10;2;2;0;Universitario;En curso;No;Sí;CSS, HTML, Javascript, PHP;MySQL;Mac OS X;Android;Full-Time;45000;38000;2;3;;101-200;9;9;13
Hombre;34;14;2;2;0;Universitario;En curso;No;Sí;.NET, Bash/Shell, C#, Java, Python, SQL, VBA;Amazon DynamoDB, Amazon RDS/Aurora, MariaDB, MSSQL, MySQL, Oracle;Windows;Android;Full-Time;64000;48000;3;2;Heterosexual;501-1000;8;7;3
Hombre;29;7;2;2;0;Universitario;En curso;Sí;Sí;Java, Scala;MySQL;Mac OS X;Android;Full-Time;50000;40000;3;3;Bisexual o queer;101-200;9;10;3
Hombre;41;3;0;0;0;Universitario;Incompleto;Sí;Sí;Javascript;;Mac OS X;Android;Full-Time;85000;66000;3;2;Heterosexual;201-500;9;9;20
Hombre;25;6;2;2;4;Universitario;En curso;Sí;Sí;CSS, HTML, Javascript;Amazon RDS/Aurora, ElasticSearch, MongoDB, MySQL, Redis;Mac OS X;Android;Full-Time;53500;41000;1;1;Heterosexual;5001-10000;6;10;30
Hombre;32;12;3;8;1;Universitario;En curso;Sí;Sí;HTML, Javascript, Python;;Mac OS X;Android;Full-Time;123750;100000;4;4;Heterosexual;51-100;10;5;15
Hombre;26;0;0;0;0;Terciario;En curso;No;Sí;Bash/Shell, Javascript, Python, SQL;Amazon DynamoDB, Amazon Redshift, ElasticSearch, MySQL, PostgreSQL, Redis;Mac OS X;Android;Full-Time;31000;26000;3;2;Heterosexual;51-100;10;8;11
Hombre;34;12;4;1;0;Universitario;Incompleto;No;Sí;CSS, HTML, Java, Javascript, TypeScript;MongoDB;Linux;Android;Full-Time;61000;48000;2;2;Heterosexual;201-500;8;9;2
Mujer;31;3;2;1;1;Universitario;Completado;No;No;;;Windows;Android;Full-Time;54000;45000;3;2;Heterosexual;11-50;8;7;20
Hombre;20;1;1;1;0;Universitario;Incompleto;No;Sí;CSS, HTML, Javascript, PHP, Python;MySQL;Linux;Android;Full-Time;40000;32000;3;3;Heterosexual;;;;
Hombre;30;7;5;5;0;Terciario;Completado;No;No;Objective-C, Swift;;Mac OS X;iOS;Full-Time;4673267;38097;4;3;Asexual;51-100;10;10;30
Hombre;40;10;4;4;0;Terciario;Incompleto;Sí;No;;MariaDB, MSSQL, MySQL, Oracle, PostgreSQL;Windows;Android;Full-Time;66040;50800;3;2;Heterosexual;201-500;7;4;8
Hombre;36;12;12;5;0;Universitario;Completado;No;Sí;Bash/Shell, HTML, Javascript, Python, SQL;ElasticSearch, MySQL, Oracle, Redis, SQLite;Linux;iOS;Full-Time;71400;;3;2;Heterosexual;10001+;6;4;3
Hombre;33;5;4;4;0;Posgrado;En curso;Sí;Sí;Javascript, Ruby, SQL;MySQL, PostgreSQL;Linux;Android;Part-Time;48800;40504;4;4;Heterosexual;201-500;7;7;-1
Hombre;26;3;0;1;0;Universitario;En curso;No;Sí;Groovy, HTML, Javascript;;Mac OS X;Android;Full-Time;50000;39000;3;3;Heterosexual;2001-5000;9;10;3
Mujer;35;10;7;4;2;Terciario;Completado;No;No;;;Windows;Android;Full-Time;55000;42000;3;2;Bisexual o queer;11-50;4;3;2
Hombre;39;12;1;1;0;Terciario;Completado;No;Sí;CSS, HTML, Javascript, PHP;MySQL, Redis;Windows;Android;Full-Time;543375;45100;2;1;Homosexual;101-200;8;10;-1
Hombre;31;8;3;3;0;Universitario;Incompleto;Sí;Sí;CSS, Groovy, HTML, Java, Javascript, Scala, SQL;ElasticSearch, MySQL, Oracle;Linux;Android;Full-Time;74000;45000;2;1;Heterosexual;10001+;8;1;2
Hombre;25;6;4;1;4;Universitario;Completado;No;Sí;CSS, HTML, Javascript, Objective-C, Swift, TypeScript;MongoDB;Mac OS X;iOS;Full-Time;72340;58500;2;3;Heterosexual;101-200;9;10;2
Mujer;24;1;1;1;0;Universitario;En curso;No;No;CSS, HTML, Javascript;;Mac OS X;Android;Full-Time;26000;21500;1;1;Bisexual o queer;11-50;6;3;10
Hombre;27;7;3;2;0;Universitario;Completado;No;Sí;Python, R, SQL, SAS;Apache Hive, Google Cloud Storage, Oracle;Windows;Android;Full-Time;60000;46000;3;2;Heterosexual;101-200;8;6;8
Hombre;31;11;7;7;0;Universitario;En curso;No;No;;;Windows;Android;Full-Time;35000;30000;1;1;Heterosexual;11-50;4;1;18
Hombre;29;3;9;0;0;Universitario;En curso;No;Sí;Bash/Shell, C++, Java;MySQL;Windows;Android;Full-Time;30000;25600;1;1;Heterosexual;201-500;4;6;2
Hombre;25;1;1;1;0;Universitario;En curso;No;No;C, Java, Javascript;MSSQL;Windows;Android;Full-Time;24590;20590;2;2;Heterosexual;501-1000;7;8;53
